"urn:cts:greekLit:tlg0013.tlg005:7-11","urn:cts:dmk:DouglasFrame.HippotaNestor:398#89","quoted and translated","analysis of the application of the epithet Dios kourē to Athena, in the context of analyzing the transformation of Athens’ Athena Polias from the mother goddess to the Panhellenic virgin war goddess and Olympian daughter of Zeus"
"urn:cts:greekLit:tlg0013.tlg005:14-15","urn:cts:dmk:DouglasFrame.HippotaNestor:390#78","quoted and translated","spinning as appropriate to both virgins and matrons, in the context of the analysis of Nausicaa’s washing expedition as alluding to the Plynteria (as a festival heralding Athena’s marriage)"
"urn:cts:greekLit:tlg0013.tlg003:16","urn:cts:dmk:DouglasFrame.HippotaNestor:380#63","reference","analysis of whether or not Ortygia, Artemis’ birthplace, is to be identified with Delos, in the context of analyzing Odysseus’ comparison of Nausicaa to Apollo’s palm tree"
"urn:cts:greekLit:tlg0013.tlg003:117","urn:cts:dmk:DouglasFrame.HippotaNestor:379#62","reference","analysis of Odysseus’ comparison of Nausicaa to Apollo’s palm tree, to be identified as the one Leto grasped when giving birth to Apollo"
"urn:cts:greekLit:tlg0013.tlg003:117-118","urn:cts:dmk:DouglasFrame.HippotaNestor:349#14","quoted and translated","analysis of goddesses of childbirth represented on their knees giving birth, in the context of analyzing the Epidaurians’ images of Auxesia and Damia"
"urn:cts:greekLit:tlg0013.tlg003:146-155","urn:cts:dmk:DouglasFrame.HippotaNestor:554","quoted and translated","analysis of the similarities of Homer and the Ionians with Demodokos and the Phaeacians – Phaeacians representing the Ionians of Homer’s time – and the influence of this representation on that of the Ionians in HHApollo"
"urn:cts:greekLit:tlg0013.tlg003:147","urn:cts:dmk:DouglasFrame.HippotaNestor:521#11","reference","comparison of Ionians to Phaeacians (in terms of their fame for their dress)"
"urn:cts:greekLit:tlg0013.tlg003:151","urn:cts:dmk:DouglasFrame.HippotaNestor:555#100","quoted and translated","comparison of the representation of Homer and Ionians in the Hom. Hymn to Apollo and of Demodokos and the Phaeacians in the Odyssey, here regarding their being close to gods"
"urn:cts:greekLit:tlg0013.tlg003:155","urn:cts:dmk:DouglasFrame.HippotaNestor:555#100","quoted and translated","comparison of the representation of Homer and Ionians in the Hom. Hymn to Apollo and of Demodokos and the Phaeacians in the Odyssey, here regarding their wealth (ktēmata) and ships"
"urn:cts:greekLit:tlg0013.tlg003:172","urn:cts:dmk:DouglasFrame.HippotaNestor:553","quoted and translated","analysis of the similarities of Homer and the Ionians with Demodokos and the Phaeacians"
