"O.01.001","MR ix","reference","analysis of polútropos as ambiguous epithet of Odysseus, meaning both “very wily” and / or “much wandering.” Suggests ambiguity is intentional and connected to relationship between nóos, “mind,” and néomai, to “return home, ” which are proposed to be etymologically derived from the verbal root *nes-"
"O.01.066","MR x","quoted and translated","citation of Zeus’ characterization of Odysseus’ preeminent quality, nóos "
"O.01.077","MR x","quoted and translated","analysis of Odysseus’ role and function in the Odyssey as expressed by Zeus. His destiny is to “return home,” an idea expressed by the word nóstos – a nominal derivative of néomai"
"O.19.338","MR 2","partially quoted and translated","evidence not to postulate sn- initial for etymology of nóos"
"O.09.062-063 / O.09.565-566 / O.10.133-134","MR 9n8","quoted and translated","analysis of the collocation ásmenoi ek thanátoio. Proposes ásmenos is derivative of *nes- and suggests collocation originally meant “having returned from death”"
"O.11.114","MR 10","quoted and translated","comparison of the formulaic diction of ásmenoi in Od. IX.62-62 and néomai, which elucidates common meaning. Dates probable composition of lines to second millennium B.C.  "
"O.11.114","MR 13","reference","traditionally an essential part of a Nekuomanteίa"
"O.12.141","MR 10","quoted and translated","comparison of the formulaic diction of ásmenoi in Od. IX. 62-62 and néomai, which elucidates common meaning. Dates probable composition of lines to second millennium B.C.  Traditionally, essential part of a Nekuomanteίa"
"O.12.141","MR 13","quoted and translated","comparison of the formulaic diction of ásmenoi in Od. IX.62-62 and néomai, which elucidates common meaning. Dates probable composition of lines to second millennium B.C. "
"O.02.174-176","MR 13-14","quoted and translated","analysis of formulaic variation of Od. XI.114, Od. XII.141. The traditional context of prophesy is preserved without implication of “returning from death,” but Homer substitutes oíkad’ eleústhai for neȋai"
"O.09.532-534","MR 14","quoted and translated","analysis of formulaic variation of Od. XI.114, Od. XII.141. The context is changed from prophesy to curse, élthoi substituted for traditional neȋai. Dependence of élthoi on previous mention of “home” and “fatherland” shows the secondary nature of this passage"
"O.13.339-340","MR 15","quoted and translated","analysis of formulaic variation of Od. XI.114, Od. XII.141. Homer substitutes derivative form of νοστήσεις. Context of prophesy almost absent as a result of Homer’s modification of traditional diction"
"O.02.176","MR 15","partially quoted and translated","quoted as evidence that Homer understood neȋai as simply meaning “you will return home”"
"I.14.107-108","MR 16-17","quoted and translated","provides evidence for contention that Homer no longer understood the context and traditional meaning of ásmenoi because it has here lost its verbal force and functions as an adjective"
"I.20.349-350","MR 16","quoted and translated","evidence for contention that Homer understands ásmenoi only as an adjective and thus reinterprets original collocation ásmenoi ek thanátoio, originally a “return from death” as an “escape from death”"
"I.20.350","MR 18","quoted","evidence for contention that Homer understands ásmenoi only as an adjective and thus reinterprets original collocation ásmenoi ek thanátoio, originally a “return from death” as an “escape from death”"
"I.20.350","MR 27","reference","suggests possibility that collocation ásmenos phúgeιn is based on Homeric phrase phúgen ásmenos ek thanátoio "
"O.10.131-134","MR 17","quoted and translated","analysis of Homer’s reinterpretation of traditional ásmenoi as aspasíōs… phúge, which shows that Homer understood ásmenoi to mean “happy”"
"O.01.006-009","MR 20","quoted and translated: analysis of role of Helios in correct understanding of the root *nes-. Earliest meaning is a “return from death and darkness” or “having returned to life and light” whose context is hieratic. Helios takes away from Odysseus’ companions their day of return because only the hero, like the sun, can pass through the regions of death without dying"
"O.01.006-009","MR 56","quoted and translated","use of nḗpioi echoes Od. IX.44-46"
"I.03.227 / O.11.109 / O.12.323 ","MR 31","quoted and translated","analysis of the Sun’s apparent endowment with an all-embracing consciousness. Compare to Xenophanes frag.20 (Diehl)"
"O.01.008-009","MR 33","quoted","comparison of “foolish” companions to Odysseus, archetype of intelligence. Signifies traditional association of companions’ loss of nóstos with their lack of nóos"
"O.05.023-024","MR 33n32","quoted and translated","reference to Homeric passage where nóos is connected to traditional sense of return. "
"O.09.097","MR 35","quoted","suggestion that collocation nóstou te lathésthai, “to forget their homecoming,” is related to a loss of “mind”"
"O.09.102","MR 35","quoted","suggestion that collocation nóstoio láthētai, “that he might forget his homecoming,” is related to theme of a loss of “mind”"
"O.10.236 / O.10.472","MR 35","partially quoted and translated","evidence for suggestion that collocations utilizing forms of lanthánomai with nóstos are semantically related to theme of a loss of “mind.” Comparison with intended effect of Circe’s drugs: to make the companion forget their homeland  "
"O.10.236 / O.10.472","MR 51","partially quoted and translated","evidence for suggestion that collocations utilizing forms of lanthánomai with nóstos are semantically related to theme of a loss of “mind.” Comparison with intended effect of Circe’s drugs: to make the companion forget their homeland  "
"O.11.110 / O.11.137","MR 35","reference","analysis of mimnḗskeo and médomai, argues they have the same significance for the connection between nóos and néomai as does lanthánomai in Od. X.236, Od. X.472"
"I.09.622 / I.10.509 / O.03.142","MR 35","reference","example of relationship between verbs signifying mind as nóstos. Compare to Il. X.509, Od. III.142"
"O.12.021-022","MR 38","quoted and translated","analysis of Circe’s emphatic connection of Nekyia with theme of a “return from death”"
"O.12.338-339","MR 39n5","reference","interpretation of Helios episode as “return from death.” Sleep, or unconsciousness, is analyzed as the death from which nóstos is the “return”"
"O.10.553","MR 39","quoted and translated","analysis of Elpenor (described as oúte phresìn hê̄isin arērṓs) as a survival of the traditional notion that a lack of nóos meant a lack of nóstos"
"O.10.494-495","MR 40","quoted and translated","analysis of Teiresias’ retention of nóos as the distinguishing characteristic which separates him from the dead"
"O.11.134","MR 40n7","partially quoted and translated","evidence for connection of prophesy of Teiresias with the theme of “life and death” "
"O.10.537 / O.11.050 / O.11.089","MR 40n8","partially quoted and translated","analysis of Homer’s emphasis on journey to Hades as a journey “to gain knowledge”"
"O.12.382-383","MR 41","quoted and translated","analysis of possible reminiscence of Helios’ descent into Hades as the means by which the companions, who equated with sunset, were put to death"
"O.12.131-133","MR 41","quoted and translated","analysis of the name, Néaira, as derivative of néomai, which refers both to the returning light of day and to light in the context of salvation – a name suitable for guardian of the cattle of Helios"
