"O.01.001","BA 271","reference","composition presented as something that the poet hears from the Muses"
"O.01.002","BA 40","reference","credit given to Odysseus for the destruction of Troy (in the Odyssey)"
"O.01.007","BA 113","reference","the convention of the Dios boulē as at I.01.005 treated as a foil in this verse"
"O.01.022-026","BA 205-206, 213","references, quoting and translating 023-024 (pp. 205-206)","location of the land of Aithiopes and Olympians’ habitually going there to receive sacrifice"
"O.01.022-026","BA 218","reference","comment on dais and the epic diction not distinguishing between feasting of men and gods together and sacrificing by men to gods"
"O.01.103","BA 233","reference","Ithaca counting as one district, in the context of analyzing dēmos and dēmiourgos"
"O.01.241","BA 194","quoted and translated","analysis of the role of gusts of wind in abduction and immortalization of heroes"
"O.01.299","BA 37","reference","conventional linking of ep’ anthrōpous with kleos and aoidē"
"O.01.326-327/338","BA 97","reference, quoting and translating 338","analysis of the antithesis of kleos and penthos, and personal involvement or noninvolvement as deciding whether an epic situation calls for penthos or kleos"
"O.01.342-344","BA 97-98","references, quoting and translating 334 (p. 97)","analysis of the antithesis of kleos and penthos, and personal involvement or noninvolvement as deciding whether an epic situation calls for penthos or kleos"
"O.01.346-347","BA 98","reference","analysis of the antithesis of kleos and penthos, and personal involvement or noninvolvement as deciding whether an epic situation calls for penthos or kleos"
"O.01.347-352","BA 98","reference, quoting and translating 351-352","analysis of the antithesis of kleos and penthos, and personal involvement or noninvolvement as deciding whether an epic situation calls for penthos or kleos"
"O.02.032","BA 149","reference","analysis of dēmos as originally meaning something like “district” (and Detienne 1968)"
"O.02.035","BA 17","reference","comment on the expressiveness of Phemios’ name"
"O.02.044","BA 149","reference","analysis of dēmos as originally meaning something like “district” (and Detienne 1968)"
"O.02.360","BA 40","quoted and translated","Odysseus’ double frame of reference – unlike Achilles, he gets both kleos and nostos – in the context of analyzing the application of the phrase “best of the Achaeans” to him"
"O.02.409","BA 86","reference","as an epithet, kratero- as a variant of hiero- in combinations with is + gen. of the hero’s name"
"O.02.409","BA 89","reference","parallelism of menos and is, in the context of the analysis of krataiis ‘whose is has kratos’ and Akhaioi"
"O.03.033","BA 218","reference","analysis of the epic diction regarding feasting of men and gods and men sacrificing to gods (dais)"
"O.03.066","BA 128","quoted and translated","analysis of the idea of division in dais and derivation from daiomai"
"O.03.083","BA 40","quoted and translated","Odysseus’ double frame of reference – unlike Achilles, he gets both kleos and nostos – in the context of analyzing the application of the phrase “best of the Achaeans” to him"
"O.03.207","BA 163","reference","conventional association of atasthalo- and derivatives with hubris and its derivatives"
"O.03.257","BA 210","reference","analysis of the stylization of immortalization in Epos, with xanthos ‘blond’ as applied to heroes that have been immortalized (here, of Menelaos)"
"O.03.267-271","BA 37-38","references","traditional themes regarding the poet, namely, that he does not need to see it in order to tell about an event since he can hear about it from the Muses and that he can regulate social behavior with his power to blame evil deeds (in Clytemnestra’s case)"
"O.03.326","BA 210","reference","analysis of the stylization of immortalization in Epos, with xanthos ‘blond’ as applied to heroes that have been immortalized (here, of Menelaos)"
"O.04.011","BA 146","reference","naming of son after one of the father’s primary heroic characteristics (here, Megapenthes and Menelaos)"
"O.04.060","BA 226","reference","analysis of the language of praise poetry as presenting the language of unjustified blame as parallel to the eating of heroes’ corpses by dogs"
"O.04.100-105","BA 98","reference","analysis of the antithesis of kleos and penthos, and personal involvement or noninvolvement as deciding whether an epic situation calls for penthos or kleos"
"O.04.106-108","BA 95","reference","thematic connection with kleos in the application of alaston (coordinate with the theme of mnēmosune) to penthos (in the context of analyzing the relationship of penthos with kleos)"
"O.04.106-108","BA 99","quoted and translated","analysis of the antithesis of kleos and penthos, and personal involvement or noninvolvement as deciding whether an epic situation calls for penthos or kleos"
"O.04.108-110","BA 146","reference","naming of son after one of the father’s primary heroic characteristics (here, Megapenthes and Menelaos)"
"O.04.110-116/182-185","BA 99","references, quoting and translating 182","analysis of the antithesis of kleos and penthos, and personal involvement or noninvolvement as deciding whether an epic situation calls for penthos or kleos"
"O.04.220-226","BA 99-100","references, quoting and translating 221 (p. 100)","analysis of the antithesis of kleos and penthos, and personal involvement or noninvolvement as deciding whether an epic situation calls for penthos or kleos"
"O.04.238-243","BA 99","quoted and translated","analysis of the antithesis of kleos and penthos, and personal involvement or noninvolvement as deciding whether an epic situation calls for penthos or kleos"
"O.04.363","BA 186","reference","analysis of the application of vegetal imagery to the permanence of cult as a cultural institution (phthi-, menos, timē)"
"O.04.561-569","BA 167","references","analysis of the Homeric descriptions of the island of Leuke, Isles of the Blessed, and Elysium, and their unified representation (here, Elysium)"
"O.04.561-569","BA 171","reference","comparison of Elysium in this passage with the description of the Golden Age in Pindar O.2.70-77"
