"I.01.001-009","HPC 111","quoted and translated","analysis and comparison of the beginnings of the arkhaia Ilias and of the Homeric Iliad that has come down to us"
"I.01.001-009","HPC 113","quoted and translated","analysis of the Plan of Zeus as the driving force in the newer Iliad matching HH23 to Zeus (esp. line 2, telesphoros), and the same theme found in the epic Cycle and the Cypria"
"I.01.001-009","HPC 114-115","quoted and translated","agency of Apollo subsumed under the ultimate divine agency represented by the Plan of Zeus in the newer Iliad, unlike in the older one, which only attributes the events to the agency of Apollo, and the newer Iliad invoking a singular Muse while the older Iliad invokes an aggregate of Muses"
"I.01.005","HPC 111, 114","reference","the newer Iliad subsuming the divine agency of Apollo under the Plan of Zeus, unlike the older Iliad"
"I.01.005","HPC 121","transliterating and translating part of the verse","analysis of the expression ‘and the Plan of Zeus was reaching its outcome’"
"I.01.005","HPC 127","reference","analysis of the most general (see Cypria) and the more special (this verse) views of the Plan of Zeus"
"I.01.131","HPC 239","reference","theoeikelos applied only to Achilles in the Iliad (as in this verse), in the context of analyzing the convergences between the (wording) of Sappho 44 and the Iliad, here specifically the application of the epithet in Sappho 44 to Hector and Andromache and its ominous dimension when analyzed in light of the Iliad"
"I.01.366-369","HPC 243","reference","analysis of Andromache as an Aeolian personality through comparison with Briseis and Chryseis who became captives when their cities (Lyrnessos and Thebe) were captured by Achilles"
"I.01.409","HPC 160","reference","analysis of the internal evidence for (the topography of) the naustathmon of the Achaeans in the Iliad"
"I.01.604","HPC 67","reference to scholia D","example of ek diadokhēs in the sense of ‘by taking turns’"
"I.02.299-332","HPC 123-125","quoted and translated","analysis of the idea of epic telos, and here, in the case of the Iliad, its being realized only in the form of a prophecy (by contrast with the epic Cycle, where the destruction of Troy is the telos)"
"I.02.547-548","HPC 40, 350","quoted and translated as part of Vita 1.379-384","analysis of en-poiein not as ‘interpolate’ but as make poetry fit inside poetry that has already been made and as integral to the making of Homeric poetry"
"I.02.557","HPC 355","reference","claim of Megara that the Athenians interpolated this verse, in the context of their making their claims to Salamis with reference to Homer"
"I.02.558","HPC 355","reference","claim of Megara that the Athenians interpolated this verse, in the context of their making their claims to Salamis with reference to Homer"
"I.02.688-693","HPC 243","reference","analysis of Andromache as an Aeolian personality through comparison with Briseis and Chryseis who became captives when their cities (Lyrnessos and Thebe) were captured by Achilles"
