"O.01.002","HPC 102","reference","comment on Odysseus’ kleos depending on his nostos, not on the credit he is given for the destruction of Troy, in the context of analyzing the agōn between Demodokos and Odysseus as a confrontation of preregular and regular forms of Homeric poetry"
"O.03.088","HPC 16n25","reference","comment on apeuthēs, here in the sense of ‘without information’, as understood to be a synonym of aphēmōs ‘without naming names’, in the context of analyzing HHApollo.3 (and Thucydides on it)"
"O.03.130","HPC 207","reference","among examples of passages Strabo interprets to mean that the destruction of Troy was total"
"O.03.170-174","HPC 227","reference","example of the comparatively lesser shading over of the island Ionians, in the context of the analysis of the shading over by the Panathenaic Homer of the Ionians and the cities in the Ionian Dodecapolis"
"O.03.184","HPC 16n25","reference","comment on apeuthēs, here in the sense of ‘without information’, as understood to be a synonym of aphēmōs ‘without naming names’, in the context of analyzing HHApollo.3 (and Thucydides on it)"
"O.04.017-018","HPC 300n87","quoted and translated","Aristarchus accepting the wording in these verses while rejecting the same at I.18.604-605, in the context of the analysis of the medieval manuscript tradition’s not attesting I.18.604-605, their restoration based on Athenaeus, and authentication on the basis of O.13.027-028"
"O.04.018","HPC 300n88","reference","analysis of the variant readings exarkhontos and exarkhontes in this verse"
"O.04.227-230","HPC 75-77","quoted and translated as a part of Herodotus 2.116.1-117.1, reference","analysis of Herodotus’ concept of Homer and distinguishing him from the poet of the Cypria"
"O.04.351-352","HPC 75-77","quoted and translated as a part of Herodotus 2.116.1-117.1, reference","analysis of Herodotus’ concept of Homer and distinguishing him from the poet of the Cypria"
"O.05.437","HPC 45n33","reference","comment on epiphrosunē in the sense of ‘impulse of wisdom’"
"O.06.160","HPC 227","reference","example of the comparatively lesser shading over of the island Ionians, in the context of the analysis of the shading over by the Panathenaic Homer of the Ionians and the cities in the Ionian Dodecapolis"
"O.06.231","HPC 296n80","quoting and translating part of the verse","comparison of the simile of hyacinth blossom for hair in these verses with the simile of myrtle blossoms for Euphorbos’ hair in I.17.051-052"
