"O.01.001","PH 361","reference","analysis of choral leadership of Apollo and the Muses"
"O.01.001","PH 425","reference","analysis of polutropos, Odysseus’ epithet, in the context of analyzing the multiplicity of ainos and comparison with Theognis 215-218 and Pindar F 43 SM"
"O.01.001-010","PH 231","reference","parallelism between the prooemium and Teiresias’ instructions concerning nostos (O.11.100-118)"
"O.01.002","PH 231","reference","analysis of the language of the prooemium in comparison with Herodotus (his appropriation of Homer)"
"O.01.003","PH 231","quoted and translated","analysis of the language of the prooemium in comparison with Herodotus (his appropriation of Homer)"
"O.01.003","PH 232","references","interpretation of sēma, noos, and the meaning of the line"
"O.01.003","PH 236","translation","analysis of the analogous nature of Odysseus’ and Herodotus’ privileged position of knowledge deriving from their travelling through many cities"
"O.01.006-007","PH 242","reference","note that O.01.033-034 should be understood in conjunction with this passage in the context of the analysis of the juridical distinction between being the cause of misfortunes and being legally responsible (aitios) for them"
"O.01.009","PH 222","quoting part of the line","examples of transition from prooemium to narrative proper by way of repetition"
"O.01.013","PH 222","quoting part of the line","examples of transition from prooemium to narrative proper by way of repetition"
"O.01.032-034","PH 241","quoted and translated","analysis of the juridical distinction between being the cause of misfortunes and being legally responsible (aitios) for them"
"O.01.033-034","PH 242","reference","note that this passage should be understood in conjunction with O.01.006-007 in the context of the analysis of the juridical distinction between being the cause of misfortunes and being legally responsible (aitios) for them"
"O.01.153","PH 90","reference","analysis of kitharis, its accentuation follows a clearly Aeolic pattern in Homeric diction"
"O.01.155","PH 360","reference","analysis of solo-performances that developed out of the prooimion of the kitharōidos with Phemios as an example"
"O.01.326","PH 69","reference","analysis of application of the concept neo- ‘new’ to refer to the appropriateness of the myth to the situation in the here and now (in the context of giving illustrations of the concept of alētheia as a Panhellenic truth-value)"
"O.01.338","PH 150","reference","example of kleos (or kleiō) denoting the act of praising in Homeric epic"
"O.01.347-348","PH 238","reference","analysis of the theme of the Will of Zeus as the plot of the Iliad and reflections of it in the Odyssey"
"O.01.351-352","PH 69","quoted and translated","analysis of application of the concept neo- ‘new’ to refer to the appropriateness of the myth to the situation in the here and now (in the context of giving illustrations of the concept of alētheia as a Panhellenic truth-value)"
"O.02.007","PH 251","reference","analysis of agorā, dēmos, and piphauskesthai (etc. – the distinction between public and private business) in the context of the analysis of the litigation scene on Achilles’ shield"
"O.02.010","PH 251","reference","analysis of agorā, dēmos, and piphauskesthai (etc. – the distinction between public and private business) in the context of the analysis of the litigation scene on Achilles’ shield"
"O.02.015","PH 251","reference","analysis of agorā, dēmos, and piphauskesthai (etc. – the distinction between public and private business) in the context of the analysis of the litigation scene on Achilles’ shield"
"O.02.026","PH 251","reference","analysis of agorā, dēmos, and piphauskesthai (etc. – the distinction between public and private business) in the context of the analysis of the litigation scene on Achilles’ shield"
"O.02.032","PH 251","reference","analysis of agorā, dēmos, and piphauskesthai (etc. – the distinction between public and private business) in the context of the analysis of the litigation scene on Achilles’ shield"
"O.02.044","PH 251","reference","analysis of agorā, dēmos, and piphauskesthai (etc. – the distinction between public and private business) in the context of the analysis of the litigation scene on Achilles’ shield"
"O.02.045","PH 251","reference","analysis of agorā, dēmos, and piphauskesthai (etc. – the distinction between public and private business) in the context of the analysis of the litigation scene on Achilles’ shield"
"O.03.036","PH 155, 192","references","analysis of plural patronymic names of aristocratic lineages linking them to a cult of a given hero, here specifically regarding Peisistratos/Peisistratidai, and the presence of the name in the Homeric tradition"
