"O.01.001","AA 84","reference","Odysseus as being the only epic personage to share with Hermes the epithet polutropos"
"O.01.007","AA 41","reference","language of this line echoed at the end, at O.24.428 (differentiation of blame)"
"O.01.007","AA 43","quoted and translated","analysis of the differentiation of blame in the Odyssey, as here between Odysseus and his companions, echoed at the end, at O.24.428"
"O.01.058","AA 84","reference","association of Ithaka with sight of fire and smoke, the etymology of Ithakē connecting it to aithein, and Odysseus’ calling himself Aithōn (comparison with Hermes, who in turn is compared with Prometheus-Ithas)"
"O.01.197","AA 47","translated","Athena/Mentes’ misrepresentation of Odysseus’ situation that puts Telemachus in the same position with his father"
"O.01.235","AA 61","reference (aistos)","comment on birth and death in epic diction in term of being let forth into the light and absence from it, respectively, here, with reference to Odysseus in Kalypso’s cave"
"O.01.242","AA 61","reference (aistos)","comment on birth and death in epic diction in term of being let forth into the light and absence from it, respectively, here, with reference to Odysseus in Kalypso’s cave"
"O.01.320-321","AA 188","quoted and translated","association of menos with memnēmai, and argument against the distinction between derivatives from the root *mnā- meaning ‘think, remember’ and those from *men- meaning ‘to be enraged’ (contra Considine 1985)"
"O.01.320-322","AA 47","translated","comment on the meaning of Mentes and his purpose (reminding Telemachus of his father/putting menos/tharsos in him)"
"O.02.064-069","AA 40","quoted and translated","analysis of the passage in terms of the mēnis theme (violation of rules of exchange, offending party’s solidarity group, etc.) and implying that the massacre of the suitors is a variant of the mēnis theme"
"O.02.066","AA 8","reference","in the list of offenses that (threaten to) incur mēnis"
"O.02.068-069","AA 35","translated","analysis of the meaning of thēmis and the role of Themis"
"O.03.089-091","AA 45","reference","analysis of the unclarity on the cause of Athena’s mēnis in the Odyssey as understood through the perspective of the mutual differentiation of the Iliad and the Odyssey, and the transmuting and muting of the Iliadic mēnis theme in the Odyssey"
"O.03.132-136","AA 46-47","reference","analysis of the unclarity on the cause of Athena’s mēnis in the Odyssey as understood through the perspective of the mutual differentiation of the Iliad and the Odyssey, and the transmuting and muting of the Iliadic mēnis theme in the Odyssey"
