"I.01.020","ME 102n11","reference","apoina as object of dekhesthai, in the context of analyzing I.18.499-500 (litigation scene on the Shield), and Corlu, Benveniste, and Chantraine"
"I.01.023","ME 102n11","reference","apoina as object of dekhesthai, in the context of analyzing I.18.499-500 (litigation scene on the Shield), and Corlu, Benveniste, and Chantraine"
"I.01.037-043","ME 27","quoted","analysis of the formula hōs ephat’ eukhomenos, … in the context of prayers (formulas which conclude prayers)"
"I.01.060","ME 63n89","quoted","comment on the relationship between ‘coming home’ and ‘escaping death’"
"I.01.086-087","ME 44","quoted","in a list of examples of eukhesthai + dative (formulas which report prayers)"
"I.01.086-087","ME 48-49","reference","anomaly of the formula in this verse, namely, the complement to eukhomai is not a noun (e.g. name of divinity) but a pronoun"
"I.01.090","ME 81","quoted","argument for the contextual unity of eukhesthai einai + comparative/superlative expressions regarding superiority in age on the one hand and prestige, physical prowess and physical beauty on the other (secular contexts)"
"I.01.091","ME 79","quoted","in a list of examples of eukhesthai einai + comparative/superlative (secular contexts)"
"I.01.091","ME 81","quoted","argument for the contextual unity of eukhesthai einai + comparative/superlative expressions regarding superiority in age on the one hand and prestige, physical prowess and physical beauty on the other (secular contexts)"
"I.01.091","ME 118","quoted","comparison of the verse with eukhomai einai + superlative with a similar construction attested in the Rig-Veda, in the context of analyzing the etymology of eukhesthai"
"I.01.095","ME 102n11","reference","apoina as object of dekhesthai, in the context of analyzing I.18.499-500 (litigation scene on the Shield), and Corlu, Benveniste, and Chantraine"
"I.01.111-112","ME 102n11","reference","apoina as object of dekhesthai, in the context of analyzing I.18.499-500 (litigation scene on the Shield), and Corlu, Benveniste, and Chantraine"
"I.01.279","ME 109","quoting part of the verse","in a list of passages exemplifying the complementary metrical distribution of eukhos and kudos"
"I.01.357","ME 23","quoted","variation of the formula hōs phat’ eukhomenos in this verse of Achilles’ prayer to his mother with hōs phato dakru kheōn, tou d’eklue…"
"I.01.360","ME 23","quoted","variation of the formula hōs phat’ eukhomenos in I.01.357 of Achilles’ prayer to his mother with hōs phato dakru kheōn, tou d’eklue…"
"I.01.377","ME 102n11","reference","apoina as object of dekhesthai, in the context of analyzing I.18.499-500 (litigation scene on the Shield), and Corlu, Benveniste, and Chantraine"
"I.01.381","ME 31","quoted","in a list of examples of absolute use of eukhesthai to report prayers (kluein + eukhesthai formulas)"
"I.01.381","ME 38-39","quoted","analysis of kluein + eukhesthai formulas, here, with akouein instead of kluein, and formulas with akouein as formally related to eukhomenos || toud’ eklue (= formula A)"
"I.01.381","ME 63","quoted","classification and analysis of attestations of eukhesthai + (aorist) infinitive"
"I.01.396-398","ME 39-40","quoted","analysis of the sacral-secular split in formulas with akouein and eukhesthai and where these words occur not in the same verse but with enjambment"
