"urn:cts:greekLit:tlg0012.tlg001:1.35","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_372.n_53","reference","in the context of discussing ērato and Arētē"
"urn:cts:greekLit:tlg0012.tlg001:1.43-1.52","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_253.n_153","reference","comment on Apollo’s arrows indicating death by disease, in the context of discussing O.07.063-066"
"urn:cts:greekLit:tlg0012.tlg001:1.247-1.253","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_10.n_2","quoted and translated","discussion of the motif of Nestor’s three-generation lifespan in both the Iliad and the Odyssey"
"urn:cts:greekLit:tlg0012.tlg001:1.272","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_608.n_202","quoting and translating part of the line","commentary on Nestor’s comparison between the heroes of his youth and those at Troy as possible model for comparisons of men of today with heroes at Troy"
"urn:cts:greekLit:tlg0012.tlg001:1.578-1.579","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_693.n_82","reference","discussing Hephaistos’ being the son of Hera and Zeus in Homer, in contrast to in Hesiod"
"urn:cts:greekLit:tlg0012.tlg001:2.33-2.34","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_159.n_52","part of line quoted and translated","commentary on the dream sent by Zeus to Agamemnon in the form of Nestor"
"urn:cts:greekLit:tlg0012.tlg001:2.111-2.115","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_187.n_82","reference","contrast between Nestor who affirms the positive sign from Zeus regarding the Achaeans return and Agamemnon who denies it"
"urn:cts:greekLit:tlg0012.tlg001:2.112","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_188.n_83","reference","comment on the formulaic language of Zeus’ promising and nodding in assent in response to prayer (of returning from Troy)"
"urn:cts:greekLit:tlg0012.tlg001:2.115","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_335","reference","in the context of interpreting Menelaos as “he who incites the warfolk”; example of laos as referring to one’s own even with ōlese"
"urn:cts:greekLit:tlg0012.tlg001:2.164","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_186.n_80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"urn:cts:greekLit:tlg0012.tlg001:2.180","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_186.n_80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"urn:cts:greekLit:tlg0012.tlg001:2.189","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_186.n_80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"urn:cts:greekLit:tlg0012.tlg001:2.198-2.206","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_186.n_80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"urn:cts:greekLit:tlg0012.tlg001:2.221","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_186.n_80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"urn:cts:greekLit:tlg0012.tlg001:2.236","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_39.n_69","reference","in the context of discussing the interpretation of Nestor’s name and the meaning of forms from the root *nes- as “safe return home” or without “home” where it needed to be specified"
"urn:cts:greekLit:tlg0012.tlg001:2.265-2.269","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_186.n_80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"urn:cts:greekLit:tlg0012.tlg001:2.299-2.300","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_186.n_81","quoted and translated","in the context of discussing the contrast between Odysseus and Nestor in terms of their referring to signs from gods (Odysseus recalls one interpreted by Calchas, Nestor one he saw for himself)"
"urn:cts:greekLit:tlg0012.tlg001:2.344-2.345","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_186.n_80","reference","commentary on Odysseus’ restraining and Nestor’s inciting the Achaeans, corresponding to the contrast between them on their nostos (as the mortal and immortal twins, respectively)"
"urn:cts:greekLit:tlg0012.tlg001:2.344-2.350","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_188.n_83","quoted and translated","comment on the formulaic language of Zeus’ promising and nodding in assent in response to prayer (of returning from Troy) and the variation on it in this passage"
"urn:cts:greekLit:tlg0012.tlg001:2.348-2.349","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_186","translation of part of line","in the context of discussing the contrast between Odysseus and Nestor in terms of their referring to signs from gods (Odysseus recalls one interpreted by Calchas, Nestor one he saw for himself)"
"urn:cts:greekLit:tlg0012.tlg001:2.350-2.353","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_186","quoted and translated","in the context of discussing the contrast between Odysseus and Nestor in terms of their referring to signs from gods (Odysseus recalls one interpreted by Calchas, Nestor one he saw for himself)"
"urn:cts:greekLit:tlg0012.tlg001:2.365","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_335","reference in the context of interpreting Menelaos as “he who incites the warfolk”","example of laos as referring to one’s own in contexts where there is a contrast between “leader(s)” and those who “follow”"
"urn:cts:greekLit:tlg0012.tlg001:2.494-2.510","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_479.n_275","reference","discussion of the singularity of the Athenian entry in the Catalogue of Ships and comparison with other entries (here, Boeotia)"
"urn:cts:greekLit:tlg0012.tlg001:2.511-2.516","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_479.n_275","reference","discussion of the singularity of the Athenian entry in the Catalogue of Ships and comparison with other entries (here, Orkhomenos)"
"urn:cts:greekLit:tlg0012.tlg001:2.536-2.545","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_479.n_275","reference","discussion of the singularity of the Athenian entry in the Catalogue of Ships and comparison with other entries (here, Euboea)"
"urn:cts:greekLit:tlg0012.tlg001:2.546-2.551","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_345.n_6","reference","discussion of evidence for Athena and Erechtheus as a pair, and this passage from the Catalogue of Ships as reflecting later circumstances than O.07.078-081"
"urn:cts:greekLit:tlg0012.tlg001:2.546-2.551","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_409","references","discussion of the temple of Athena and Erechtheus in Athens and the latter’s removal from it so that it was only Athena Polias’, and the passage, correctly understood, as presupposing that the shrine of Erechtheus was separate from the temple of Athena"
"urn:cts:greekLit:tlg0012.tlg001:2.546-2.551","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_412","reference","discussion of the temple of Athena and Erechtheus in Athens and the latter’s removal from it so that it was only Athena Polias’, and the passage as reflecting the state of affairs after Erechtheus had taken over Poseidon’s shrine"
"urn:cts:greekLit:tlg0012.tlg001:2.546-2.551","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_445","quoted and translated","discussion of Erechtheus temple and yearly sacrifices"
"urn:cts:greekLit:tlg0012.tlg001:2.546-2.551","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_466.n_243","reference","the passage as reflecting Erechtheus birth from Earth instead of from Athena"
"urn:cts:greekLit:tlg0012.tlg001:2.546-2.556","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_394","quoted and translated","discussion of relationship of Athena (Polias) and Erechtheus, and contrast with their representation in O.07"
"urn:cts:greekLit:tlg0012.tlg001:2.547","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_409.n_117","quoting and translating part of the line","discussion of interpreting the temple mentioned as Erechtheus’, not Athena’s"
"urn:cts:greekLit:tlg0012.tlg001:2.547","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_482","reference","comment on Erechtheus epithet megalētōr as one used only of heroic warriors (to convey the warlike nature of Athenians)"
"urn:cts:greekLit:tlg0012.tlg001:2.547-2.549","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_411","reference","comment on Erechtheus’ relocation as described in terms of Athena’s own primordial act, and as reflecting their new cult relationship"
"urn:cts:greekLit:tlg0012.tlg001:2.547-2.549","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_460","quoted and translated","discussion of the different versions of Erectheus’ myth and Athena’s role in the newer version as given in the Catalogue of Ships"
"urn:cts:greekLit:tlg0012.tlg001:2.548","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_460","reference","comment on Athena as kourotrophos as compatible with her virginity and how her larger role as a mother goddess is limited here"
"urn:cts:greekLit:tlg0012.tlg001:2.548","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_482","reference","comment dios thugatēr as Athena’s epithet here as marking her as a war goddess, not the old Athenian mother goddess (to convey the warlike nature of Athenians)"
"urn:cts:greekLit:tlg0012.tlg001:2.549","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_395","quoting part of the line","comment on interpreting eō en pioni nēō as “in his own rich temple” (i.e. Erechtheus’ as opposed to Athena’s)"
"urn:cts:greekLit:tlg0012.tlg001:2.549","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_409.n_117","quoting part of the line","comment on interpreting eō en pioni nēō as “in his own rich temple” (i.e. Erechtheus’ as opposed to Athena’s)"
"urn:cts:greekLit:tlg0012.tlg001:2.549","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_410.n_117","quoting part of the line","comment on interpreting eō en pioni nēō as “in his own rich temple” (i.e. Erechtheus’ as opposed to Athena’s)"
"urn:cts:greekLit:tlg0012.tlg001:2.549","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_446.n_193","reference","comment on the ambiguity of the pronouns (his or her temple) and how the passage does therefore not openly conflict with the old situation between Erechtheus and Athena"
"urn:cts:greekLit:tlg0012.tlg001:2.549-2.551","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_395","reference","discussion of relationship of Athena (Polias) and Erechtheus, and contrast with their representation in O.07"
"urn:cts:greekLit:tlg0012.tlg001:2.550","urn:cts:ahcip:DouglasFrame.HippotaNestor:s_446.n_193","reference","comment on the ambiguity of the pronouns (his or her temple) and how the passage does therefore not openly conflict with the old situation between Erechtheus and Athena"
