"urn:cts:greekLit:tlg0012.tlg001:1.1","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_265","reference","thematic parallelism of mēnis of Achilles towards Agamemnon and Aeneas towards Priam (I.13.459-461)"
"urn:cts:greekLit:tlg0012.tlg001:1.1","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_271","reference","composition presented as something that the poet hears from the Muses"
"urn:cts:greekLit:tlg0012.tlg001:1.1-1.2","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_73-s_74","I.01.001 and part of 002 quoted and translated","commentary on naming of the theme of mēnis, and that it refers to Achilles’ anger at Agamemnon’s slighting of his timē only, and commentary on algea"
"urn:cts:greekLit:tlg0012.tlg001:1.1-1.5","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_65","I.01.005 quoted","commenting on algea caused by Achilles’ mēnis"
"urn:cts:greekLit:tlg0012.tlg001:1.1-1.9","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_23","reference","parallels between neikos in O.08.075-081 and I.01.001-009 and whether the former was modeled on the neikos in Cypria"
"urn:cts:greekLit:tlg0012.tlg001:1.2","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_79","reference, quoting the word algea","on derivation of Akhil(l)eus from akhos and the associated theme in Iliad"
"urn:cts:greekLit:tlg0012.tlg001:1.2","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_77","reference","commenting on pervasive association of Achilles with theme of grief (algea, pēma)"
"urn:cts:greekLit:tlg0012.tlg001:1.5","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_77","reference","commenting on pervasive association of Achilles with theme of grief (algea, pēma)"
"urn:cts:greekLit:tlg0012.tlg001:1.3-1.4","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_208","reference","commentary on autos as designating the hero’s body in opposition to psukhē"
"urn:cts:greekLit:tlg0012.tlg001:1.8","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_61","reference","parallel between the way the Muses are asked to explain the cause of the eris in I.01.008 and Pindar Paean 6.50-53"
"urn:cts:greekLit:tlg0012.tlg001:1.69","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_32","reference, translation","Kalchas as “the best of the bird watching seers,” but not “the best of the Achaeans” that is more restricted"
"urn:cts:greekLit:tlg0012.tlg001:1.86","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_143","reference","Achilles as the Doppelgänger of Apollo, and swearing by him (hence the reference)"
"urn:cts:greekLit:tlg0012.tlg001:1.91","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_26","quoted and translated","commentary on who is the best of the Achaeans being contested"
"urn:cts:greekLit:tlg0012.tlg001:1.91","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_44","quoted and translated","commentary on eukhomai"
"urn:cts:greekLit:tlg0012.tlg001:1.96-1.98","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_74-s_75","quoted and translated","on mēnis and algea, and Apollo’s having the first and causing the second before Achilles"
"urn:cts:greekLit:tlg0012.tlg001:1.96-1.98","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_79","reference","discussion of the equation of akhos and algea"
"urn:cts:greekLit:tlg0012.tlg001:1.110","urn:cts:ahcip:GregoryNagy.TheBestOfTheAchaeans:s_79","reference","discussion of the equation of akhos and algea"
