"urn:cts:greekLit:tlg0012.tlg001:1.1","urn:cts:ahcip:LeonardMuellner.TheAngerOfAchilles:s_50","reference","Achilles’ mēnis, in the context of discussing mēnis as incurred by violations of the value system based on group distribution and reciprocal exchange"
"urn:cts:greekLit:tlg0012.tlg001:1.4-1.5","urn:cts:ahcip:LeonardMuellner.TheAngerOfAchilles:s_131","reference","commentary on the standard prooimion’s attribution to Achilles’ mēnis of a tabu-breaking offense"
"urn:cts:greekLit:tlg0012.tlg001:1.5","urn:cts:ahcip:LeonardMuellner.TheAngerOfAchilles:s_129","translated","comment on the “Will of Zeus” theme"
"urn:cts:greekLit:tlg0012.tlg001:1.11","urn:cts:ahcip:LeonardMuellner.TheAngerOfAchilles:s_50","reference","Chryses’ social prestige is at issue when he is dishonored (in the context of discussing mēnis as incurred by violations of the value system based on group distribution and reciprocal exchange)"
"urn:cts:greekLit:tlg0012.tlg001:1.11","urn:cts:ahcip:LeonardMuellner.TheAngerOfAchilles:s_97","reference","commentary on mēnis as caused by offense to timē of Chryses, parallels with Hesiodic mēnis of Zeus, and reciprocity/exchange"
"urn:cts:greekLit:tlg0012.tlg001:1.15","urn:cts:ahcip:LeonardMuellner.TheAngerOfAchilles:s_98","quoting and translating part of the line","commentary on mēnis as caused by offense to timē of Chryses, parallels with Hesiodic mēnis of Zeus, and reciprocity/exchange (Mauss’ total social phenomenon)"
"urn:cts:greekLit:tlg0012.tlg001:1.16","urn:cts:ahcip:LeonardMuellner.TheAngerOfAchilles:s_98","quoting and translating part of the line","commentary on mēnis as caused by offense to timē of Chryses, parallels with Hesiodic mēnis of Zeus, and reciprocity/exchange (Mauss’ total social phenomenon)"
"urn:cts:greekLit:tlg0012.tlg001:1.17-1.21","urn:cts:ahcip:LeonardMuellner.TheAngerOfAchilles:s_98","quoting and translating part of the line","commentary on mēnis as caused by offense to timē of Chryses, parallels with Hesiodic mēnis of Zeus, and reciprocity/exchange (Mauss’ total social phenomenon)"
"urn:cts:greekLit:tlg0012.tlg001:1.22-1.23","urn:cts:ahcip:LeonardMuellner.TheAngerOfAchilles:s_50","reference","Apollo’s mēnis (in the context of discussing mēnis as incurred by violations of the value system based on group distribution and reciprocal exchange)"
"urn:cts:greekLit:tlg0012.tlg001:1.22-1.23","urn:cts:ahcip:LeonardMuellner.TheAngerOfAchilles:s_98","quoting and translating part of the line","commentary on mēnis as caused by offense to timē of Chryses, parallels with Hesiodic mēnis of Zeus, and reciprocity/exchange (Mauss’ total social phenomenon)"
"urn:cts:greekLit:tlg0012.tlg001:1.24","urn:cts:ahcip:LeonardMuellner.TheAngerOfAchilles:s_98","quoted and translated","commentary on Agamemnon’s sidestepping his role as a leader and obligations to the group’s standards of behavior"
"urn:cts:greekLit:tlg0012.tlg001:1.42","urn:cts:ahcip:LeonardMuellner.TheAngerOfAchilles:s_99","translated","commentary on the language of exchange, Chryses’ prayer to Apollo"
